2024-08-26T08:00:01.123+0000 I CONTROL  [initandlisten] MongoDB starting : pid=12345 port=27017 dbpath=/data/db 64-bit host=mongodb-server
2024-08-26T08:00:02.456+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
2024-08-26T08:00:03.789+0000 I NETWORK  [listener] connection accepted from 192.168.1.100:52341 #conn1 (1 connection now open)
2024-08-26T08:00:04.234+0000 I ACCESS   [conn1] Successfully authenticated as principal adminUser on admin
2024-08-26T08:00:05.567+0000 I COMMAND  [conn1] command admin.$cmd command: isMaster { ismaster: 1 } keyUpdates:0 writeConflicts:0 numYields:0 reslen:431 locks:{} protocol:op_msg 15ms
2024-08-26T08:00:06.890+0000 I NETWORK  [listener] connection accepted from 10.0.0.15:43256 #conn2 (2 connections now open)
2024-08-26T08:00:07.123+0000 I ACCESS   [conn2] Successfully authenticated as principal appUser on ecommerce
2024-08-26T08:00:08.456+0000 I COMMAND  [conn2] command ecommerce.users command: find { status: "active" } planSummary: IXSCAN { status: 1 } keysExamined:250 docsExamined:250 cursorExhausted:true numYields:2 nreturned:250 reslen:125000 locks:{ Global: { acquireCount: { r: 6 } }, Database: { acquireCount: { r: 3 } }, Collection: { acquireCount: { r: 3 } } } protocol:op_msg 45ms
2024-08-26T08:00:09.789+0000 I NETWORK  [listener] connection accepted from 172.16.0.25:34567 #conn3 (3 connections now open)
2024-08-26T08:00:10.012+0000 I ACCESS   [conn3] Failed to authenticate dataAnalyst on analytics with mechanism SCRAM-SHA-1: AuthenticationFailed: SCRAM authentication failed, storedKey mismatch
2024-08-26T08:00:11.345+0000 I ACCESS   [conn3] Successfully authenticated as principal dataAnalyst on analytics
2024-08-26T08:00:12.678+0000 I COMMAND  [conn3] command analytics.events command: aggregate { pipeline: [{ $match: { date: { $gte: ISODate("2024-08-01") } } }, { $group: { _id: "$category", total: { $sum: "$sales" } } }] } planSummary: IXSCAN { date: 1 } keysExamined:5000 docsExamined:5000 cursorExhausted:true numYields:39 nreturned:25 reslen:1250 locks:{ Global: { acquireCount: { r: 80 } }, Database: { acquireCount: { r: 40 } }, Collection: { acquireCount: { r: 40 } } } protocol:op_msg 850ms
2024-08-26T08:00:13.901+0000 I NETWORK  [listener] connection accepted from 203.0.113.45:12345 #conn4 (4 connections now open)
2024-08-26T08:00:14.234+0000 I ACCESS   [conn4] Successfully authenticated as principal webUser on ecommerce
2024-08-26T08:00:15.567+0000 I COMMAND  [conn4] command ecommerce.orders command: insert { documents: [{ orderId: "ORD001", userId: 123, amount: 99.99 }] } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 locks:{ Global: { acquireCount: { w: 2 } }, Database: { acquireCount: { w: 2 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_msg 5ms
2024-08-26T08:00:16.890+0000 I NETWORK  [listener] connection accepted from 127.0.0.1:60123 #conn5 (5 connections now open)
2024-08-26T08:00:17.123+0000 I ACCESS   [conn5] Successfully authenticated as principal devUser on development
